tier,source_tools,source_commands,combined_command_template,combination_description,is_valid_combination,category,input_nl,target_command
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Broken English,show third line then edit schedule,awk 'NR%3==1' /tmp/test.txt | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Lazy,awk crontab hosts,awk 'NR%3==1' /etc/hosts | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Power,select every third line and load into crontab,awk 'NR%3==1' ~/.ssh/config | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Direct,view every third line from the ssh config and open crontab,awk 'NR%3==1' ~/.ssh/config | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Noob,what is the command to grab every third line from this config and open my schedule editor?,awk 'NR%3==1' ~/.zshrc | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,ChatGPT-style,please output every third line from my shell config and open the crontab editor,awk 'NR%3==1' ~/.zshrc | crontab -e
T1xT1,awk+crontab,awk 'NR%3==1' path/to/file | crontab -e,awk 'NR%3==1' ~/.zshrc | crontab -e,filter every third line of a user config file and schedule it for periodic editing,True,Broken English,show third line then edit schedule,awk 'NR%3==1' ~/Downloads/report.csv | crontab -e
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Lazy,awk grep error log,"awk 'NR%3==1' ~/logs/syslog | grep ""ERROR"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Power,select every 3rd line and filter by keyword,"awk 'NR%3==1' data.csv | grep ""v1.0"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Direct,display every third line of the file and find instances of success,"awk 'NR%3==1' report.txt | grep ""success"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Noob,i want to look at every third entry in my text file and see where 'test' appears,"awk 'NR%3==1' notes.txt | grep ""test"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,ChatGPT-style,what is the command to grab every third line and then highlight matching lines?,"awk 'NR%3==1' src.txt | grep ""main"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Broken English,show every third line and find line with error,"awk 'NR%3==1' output.txt | grep ""failed"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Lazy,awk grep user list,"awk 'NR%3==1' users.txt | grep ""admin"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Power,pipeline: skip lines and filter,"awk 'NR%3==1' input.dat | grep ""2023"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Direct,output every third line and search for the word 'delete',"awk 'NR%3==1' logs.txt | grep ""delete"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Noob,help me see every third line in this file and look for 'done',"awk 'NR%3==1' tasks.txt | grep ""done"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,ChatGPT-style,can you get me every third line and then filter it by 'warning'?,"awk 'NR%3==1' alerts.txt | grep ""warning"""
T1xT1,awk+grep,"awk 'NR%3==1' path/to/file | grep ""search_pattern"" path/to/file1 path/to/file2 ...","awk 'NR%3==1' path/to/file | grep ""search_pattern""",filter every third line of a file and then search for a specific pattern within the results,True,Broken English,every third line search error,"awk 'NR%3==1' sys.log | grep ""error"""
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Lazy,awk every 3rd line git init,awk 'NR%3==1' data.csv && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Power,print every third line from csv and start a repo,awk 'NR%3==1' logs.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Direct,select every third line from the config file and set up git,awk 'NR%3==1' config.ini && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Noob,can you filter out every other line from the text file and make it a git project?,awk 'NR%3==1' notes.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,ChatGPT-style,please get every third line from my report and initialize a git repository,awk 'NR%3==1' report.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Broken English,show every third line from file and make git repo,awk 'NR%3==1' source.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Lazy,awk 3rd line git init,awk 'NR%3==1' list.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Power,process the output line by line and create a git repo,awk 'NR%3==1' input.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Direct,extract lines that are multiples of three and prepare git,awk 'NR%3==1' source.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Noob,how do i grab the lines that are spaced out in the document and start a git project?,awk 'NR%3==1' data.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,ChatGPT-style,what is the command to take every third line from the file and create a new git repo?,awk 'NR%3==1' data.txt && git init
T1xT1,awk+git,awk 'NR%3==1' path/to/file | git init,awk 'NR%3==1' path/to/file && git init,filter every third line from a file and initialize a new git repository in the current directory,True,Broken English,show every third line from file and make repo,awk 'NR%3==1' file.txt && git init
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Lazy,awk less log.txt,awk 'NR%3==1' log.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Power,filter every third line and paginate output,awk 'NR%3==1' /var/log/system.log | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Direct,display every third line of the file and read it on the screen,awk 'NR%3==1' passwords.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Noob,can you help me look at just the lines 1 4 7 10 of this text file?,awk 'NR%3==1' notes.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,ChatGPT-style,"what is the command to read a file one line at a time, but only every third one?",awk 'NR%3==1' emails.csv | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Broken English,show me lines 1 4 7 using pager,awk 'NR%3==1' data.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Lazy,awk less access.log,awk 'NR%3==1' access.log | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Power,execute filter and open in interactive viewer,awk 'NR%3==1' /etc/hosts | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Direct,extract every third line of the configuration file and view it,awk 'NR%3==1' config.ini | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Noob,"i want to see specific lines from this list, skipping two between each one",awk 'NR%3==1' todo.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,ChatGPT-style,please show me every third entry from this list with a pager,awk 'NR%3==1' products.txt | less
T1xT1,awk+less,awk 'NR%3==1' path/to/file | <F>,awk 'NR%3==1' path/to/file | less,filter lines from a file and view them in a pager,True,Broken English,read lines 1 4 7 10 of file,awk 'NR%3==1' readme.md | less
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Lazy,awk pipe pip list,awk 'NR%3==1' file.csv | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Power,extract every third line and pipe to package manager,awk 'NR%3==1' log.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Direct,print every third line from the file and then list pip packages,awk 'NR%3==1' data.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Noob,can i show every third line of this text file and then see my python packages?,awk 'NR%3==1' notes.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,ChatGPT-style,please output every third line from the file and then list installed pip packages,awk 'NR%3==1' output.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Broken English,show every third line pipe to pip list,awk 'NR%3==1' history.log | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Lazy,awk grep pip,awk 'NR%3==1' items.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Power,filter file by line number modulo and pipe to pip,awk 'NR%3==1' source.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Direct,get every third line from the file and show pip packages,awk 'NR%3==1' report.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Noob,"i want to skip lines and look at python packages, is this possible?",awk 'NR%3==1' draft.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,ChatGPT-style,what is the command to select specific lines from a file and then list packages?,awk 'NR%3==1' sample.txt | pip list
T1xT1,awk+pip,awk 'NR%3==1' path/to/file | pip list,awk 'NR%3==1' path/to/file | pip list,extract every third line from a file and pipe the results to list installed python packages,True,Broken English,awk third line pip list,awk 'NR%3==1' temp.txt | pip list
T1xT1,awk+rg,awk 'NR%3==1' path/to/file | rg pattern,awk 'NR%3==1' path/to/file | rg pattern,"filter a file to keep every third line, then search the result for a specific pattern",True,Lazy,"awk 1,3 rg text",awk 'NR%3==1' notes.txt | rg password
