Name,English,Command
wc,Count characters in file (taking multi-byte character sets into account),wc -m path/to/file
wc,"Use `stdin` to count lines, words, and characters (bytes) in that order",find . | wc
pbpaste,Write the contents of the clipboard to a file,pbpaste > path/to/file
pbpaste,Use the contents of the clipboard as input to a command,pbpaste | grep search_string
tail,Show last 8 lines in file,tail -n 8 path/to/file
tail,Print a file from a specific line number,tail -n +8 path/to/file
tail,Print a specific count of bytes from the end of a given file,tail -c 8 path/to/file
tail,Print the last lines of a given file and keep reading it until `<Ctrl c>`,tail -f path/to/file
tail,"Keep reading file until `<Ctrl c>`, even if the file is inaccessible",tail -F path/to/file
tail,Show last `count` lines in a file and refresh every `seconds` seconds,tail -n count -s seconds -f path/to/file
arch,Display the system's architecture,arch
arch,Run a command using x86_64,"arch -x86_64 ""command"""
arch,Run a command using arm,"arch -arm64 ""command"""
screencapture,Take a screenshot and save it to a file,screencapture path/to/file.png
screencapture,Take a screenshot including the mouse cursor,screencapture -C path/to/file.png
screencapture,"Take a screenshot and open it in Preview, instead of saving",screencapture -P
screencapture,Take a screenshot of a selected rectangular area,screencapture -i path/to/file.png
screencapture,Take a screenshot after a delay,screencapture -T seconds path/to/file.png
screencapture,Make a screen recording and save it to a file,screencapture -v path/to/file.mp4
du,"List the sizes of a directory and any subdirectories, in the given unit (KiB/MiB/GiB)",du -k|m|g path/to/directory
du,"List the sizes of a directory and any subdirectories, in human-readable form (i.e. auto-selecting the appropriate unit for each size)",du -h path/to/directory
du,"Show the size of a single directory, in human-readable units",du -sh path/to/directory
du,List the human-readable sizes of a directory and of all the files and directories within it,du -ah path/to/directory
du,"List the human-readable sizes of a directory and any subdirectories, up to `n` levels deep",du -h -d n path/to/directory
du,"List the human-readable size of all `.jpg` files in subdirectories of the current directory, and show a cumulative total at the end",du -ch */*.jpg
networksetup,"List available network service providers (Ethernet, Wi-Fi, Bluetooth, etc)",networksetup -listallnetworkservices
networksetup,Show network settings for a particular networking device,"networksetup -getinfo ""Wi-Fi"""
networksetup,Get currently connected Wi-Fi network name (Wi-Fi device usually en0 or en1),networksetup -getairportnetwork en0
networksetup,Connect to a particular Wi-Fi network,networksetup -setairportnetwork en0 Airport Network SSID password
top,"Start `top`, all options are available in the interface",top
top,Start `top` sorting processes by internal memory size (default order process ID),top -o mem
top,"Start `top` sorting processes first by CPU, then by running time",top -o cpu -O time
top,Start `top` displaying only processes owned by given user,top -user user_name
top,Display help about interactive commands,<?>
cat,Print the contents of a file to `stdout`,cat path/to/file
cat,Concatenate several files into an output file,cat path/to/file1 path/to/file2 ... > path/to/output_file
cat,Append several files to an output file,cat path/to/file1 path/to/file2 ... >> path/to/output_file
cat,Copy the contents of a file into an output file without buffering,cat -u /dev/tty12 > /dev/tty13
cat,Write `stdin` to a file,cat - > path/to/file
cat,Number all output lines,cat -n path/to/file
cat,Display non-printable and whitespace characters (with `M-` prefix if non-ASCII),cat -v -t -e path/to/file
sed,Replace all `apple` (basic `regex`) occurrences with `mango` (basic `regex`) in all input lines and print the result to `stdout`,command | sed 's/apple/mango/g'
sed,Execute a specific script [f]ile and print the result to `stdout`,command | sed -f path/to/script_file.sed
sed,Replace all `apple` (extended `regex`) occurrences with `APPLE` (extended `regex`) in all input lines and print the result to `stdout`,command | sed -E 's/(apple)/\U\1/g'
sed,Print just a first line to `stdout`,command | sed -n '1p'
sed,Replace all `apple` (basic `regex`) occurrences with `mango` (basic `regex`) in a `file` and save a backup of the original to `file.bak`,sed -i bak 's/apple/mango/g' path/to/file
cut,Print the fifth [c]haracter on each line,command | cut -c 5
cut,Print the fifth to tenth [c]haracter of each line of the specified file,cut -c 5-10 path/to/file
cut,Split each line in a file by a delimiter into fields and print [f]ields two and six (default delimiter is `TAB`),"cut -f 2,6 path/to/file"
cut,Split each line by the specified [d]elimiter and print all from the second [f]ield onward,"command | cut -d ""delimiter"" -f 2-"
cut,Use space as a [d]elimiter and print only the first 3 [f]ields,"command | cut -d "" "" -f -3"
say,Say a phrase aloud,"say ""I like to ride my bike."""
say,Read a file aloud,say --input-file filename.txt
say,Say a phrase with a custom voice and speech rate,"say --voice voice --rate words_per_minute ""I'm sorry Dave, I can't let you do that."""
say,List the available voices (different voices speak in different languages),"say --voice ""?"""
say,Say something in Polish,"say --voice Zosia ""Litwo, ojczyzno moja!"""
say,Create an audio file of the spoken text,"say --output-file filename.aiff ""Here's to the Crazy Ones."""
head,Output the first few lines of a file,head -n count path/to/file
pkill,Kill all processes which match,"pkill ""process_name"""
pkill,Kill all processes which match their full command instead of just the process name,"pkill [-f|--full] ""command_name"""
pkill,Force kill matching processes (can't be blocked),"pkill -9 ""process_name"""
pkill,Send SIGUSR1 signal to processes which match,"pkill -USR1 ""process_name"""
pkill,Kill the main `firefox` process to close the browser,"pkill [-o|--oldest] ""firefox"""
ps,List all running processes,ps aux
ps,List all running processes including the full command string,ps auxww
ps,Search for a process that matches a string (the brackets will prevent `grep` from matching itself),ps aux | grep [s]tring
ps,List all processes of the current user in extra full format,ps [-u|--user] $(id [-u|--user]) -F
ps,List all processes of the current user as a tree,ps [-u|--user] $(id [-u|--user]) f
ps,Get the parent PID of a process,ps [-o|--format] ppid= [-p|--pid] pid
ps,Sort processes by memory consumption,ps --sort size
open,View documentation for the command available in macOS,tldr open [-p|--platform] osx
open,View documentation for the command available through fish,tldr open.fish
stat,"Display properties about a specific file such as size, permissions, creation date, and access date among others",stat path/to/file
stat,"Display properties about a specific file, only showing the raw result data without labels",stat [-t|--terse] path/to/file
stat,Display information about the filesystem where a specific file is located,stat [-f|--file-system] path/to/file
stat,Show only octal file permissions,"stat [-c|--format] ""%a %n"" path/to/file"
stat,Show the owner and group of a specific file,"stat [-c|--format] ""%U %G"" path/to/file"
stat,Show the size of a specific file in bytes,"stat [-c|--format] ""%s %n"" path/to/file"
tr,"Replace all occurrences of a character in a file, and print the result",tr < path/to/file find_character replace_character
tr,Replace all occurrences of a character from another command's output,echo text | tr find_character replace_character
tr,Map each character of the first set to the corresponding character of the second set,tr < path/to/file 'abcd' 'jkmn'
tr,Delete all occurrences of the specified set of characters from the input,tr < path/to/file [-d|--delete] 'input_characters'
tr,Compress a series of identical characters to a single character,tr < path/to/file [-s|--squeeze-repeats] 'input_characters'
tr,Translate the contents of a file to upper-case,"tr < path/to/file ""[:lower:]"" ""[:upper:]"""
tr,Strip out non-printable characters from a file,"tr < path/to/file [-cd|--complement --delete] ""[:print:]"""
find,Find files by extension,find path/to/directory -name '*.ext'
find,Find files matching multiple path/name patterns,find path/to/directory -path '*/path/*/*.ext' -or -name '*pattern*'
find,"Find directories matching a given name, in case-insensitive mode",find path/to/directory -type d -iname '*lib*'
find,"Find files matching a given pattern, excluding specific paths",find path/to/directory -name '*.py' -not -path '*/site-packages/*'
find,"Find files matching a given size range, limiting the recursive depth to ""1""",find path/to/directory -maxdepth 1 -size +500k -size -10M
find,Run a command for each file (use `{}` within the command to access the filename),find path/to/directory -name '*.ext' -exec wc -l {} \;
find,Find all files modified today and pass the results to a single command as arguments,find path/to/directory -daystart -mtime -1 -exec tar -cvf archive.tar {} \+
find,Search for either empty files or directories and delete them verbosely,find path/to/directory -type f|d -empty -delete -print
diff,Compare files (lists changes to turn `old_file` into `new_file`),diff path/to/old_file path/to/new_file
diff,"Compare files, ignoring white spaces",diff [-w|--ignore-all-space] path/to/old_file path/to/new_file
diff,"Compare files, showing the differences side by side",diff [-y|--side-by-side] path/to/old_file path/to/new_file
diff,"Compare files, showing the differences in unified format (as used by `git diff`)",diff [-u|--unified] path/to/old_file path/to/new_file
diff,Compare directories recursively (shows names for differing files/directories as well as changes made to files),diff [-r|--recursive] path/to/old_directory path/to/new_directory
diff,"Compare directories, only showing the names of files that differ",diff [-r|--recursive] [-q|--brief] path/to/old_directory path/to/new_directory
diff,"Create a patch file for Git from the differences of two text files, treating nonexistent files as empty",diff [-a|--text] [-u|--unified] [-N|--new-file] path/to/old_file path/to/new_file > path/to/diff.patch
diff,"Compare files, showing output in color, trying hard to find the smallest set of changes",diff [-d|--minimal] --color=always path/to/old_file path/to/new_file
whois,Get information about a domain name,whois example.com
whois,Get information about an IP address,whois 8.8.8.8
whois,Get abuse contact for an IP address,whois -b 8.8.8.8
vim,Open a file,vim path/to/file
vim,Open a file at a specified line number,vim +line_number path/to/file
vim,View Vim's help manual,<:>help<Enter>
vim,Save and quit the current buffer,<Esc><Z><Z>|<Esc><:>x<Enter>|<Esc><:>wq<Enter>
vim,Enter normal mode and undo the last operation,<Esc><u>
vim,Search for a pattern in the file (press `<n>`/`<N>` to go to next/previous match),</>search_pattern<Enter>
vim,Perform a `regex` substitution in the whole file,<:>%s/regex/replacement/g<Enter>
vim,Display the line numbers,<:>set nu<Enter>
basename,Show only the file name from a path,basename path/to/file
basename,Show only the rightmost directory name from a path,basename path/to/directory
basename,"Show only the file name from a path, with a suffix removed",basename path/to/file suffix
touch,Create specific files,touch path/to/file1 path/to/file2 ...
touch,Set the file [a]ccess or [m]odification times to the current one and don't create file if it doesn't exist,touch [-c|--no-create] -a|-m path/to/file1 path/to/file2 ...
touch,Set the file [t]ime to a specific value and don't create file if it doesn't exist,touch [-c|--no-create] -t YYYYMMDDHHMM.SS path/to/file1 path/to/file2 ...
touch,"Set the files' timestamp to the reference file's timestamp, and do not create the file if it does not exist",touch [-c|--no-create] [-r|--reference] path/to/reference_file path/to/file1 path/to/file2 ...
touch,Set the timestamp by parsing a string,"touch [-d|--date] ""last year|5 hours|next thursday|nov 14|..."" path/to/file"
touch,Create multiple files with an increasing number,touch path/to/file{1..10}
touch,Create multiple files with a letter range,touch path/to/file{a..z}
whoami,View documentation for the original command,tldr id
more,Open a file,more path/to/file
more,Display a specific line,more +line_number path/to/file
more,Go to the next page,<Space>
more,Search for a string (press `<n>` to go to the next match),</>something<Enter>
more,Exit,<q>
more,Display help about interactive commands,<h>
zip,Add files/directories to a specific archive,zip [-r|--recurse-paths] path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ...
zip,Remove files/directories from a specific archive,zip [-d|--delete] path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ...
zip,Archive files/directories excluding specified ones,zip [-r|--recurse-paths] path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ... [-x|--exclude] path/to/excluded_files_or_directories
zip,"Archive files/directories with a specific compression level (`0` the lowest, `9` the highest)",zip [-r|--recurse-paths] -0..9 path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ...
zip,Create an encrypted archive with a specific password,zip [-re|--recurse-paths --encrypt] path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ...
zip,Archive files/directories to a multi-part split Zip archive (e.g. 3 GB parts),zip [-rs|--recurse-paths --split-size] 3g path/to/compressed.zip path/to/file_or_directory1 path/to/file_or_directory2 ...
zip,Print a specific archive contents,zip [-sf|--split-size --freshen] path/to/compressed.zip
mkdir,Create specific directories,mkdir path/to/directory1 path/to/directory2 ...
mkdir,Create specific directories and their parents if needed,mkdir [-p|--parents] path/to/directory1 path/to/directory2 ...
mkdir,Create directories with specific permissions,mkdir [-m|--mode] rwxrw-r-- path/to/directory1 path/to/directory2 ...
mkdir,Create multiple nested directories recursively,"mkdir [-p|--parents] path/to/{a,b}/{x,y,z}/{h,i,j}"
btop,Start `btop`,btop
btop,Start `btop` with the specified settings preset,btop [-p|--preset] 0..9
btop,Start `btop` in TTY mode using 16 colors and TTY-friendly graph symbols,btop [-t|--tty]
btop,Start `btop` in 256-color mode instead of 24-bit color mode,btop [-l|--low-color]
btop,Set the update rate to 500 milliseconds,btop [-u|--update] 500
btop,Exit `btop`,<q>
btop,Display help,btop [-h|--help]
nano,"Open specific files, moving to the next file after closing the previous one",nano path/to/file1 path/to/file2 ...
nano,Start the editor without using configuration files,nano [-I|--ignorercfiles]
nano,Open a file and position the cursor at a specific line and column,"nano +line,column path/to/file"
nano,Open a file and enable soft wrapping,nano [-S|--softwrap] path/to/file
nano,Open a file and indent new lines to the previous line's indentation,nano [-i|--autoindent] path/to/file
nano,Open a file and create a backup file (`path/to/file~`) on save,nano [-B|--backup] path/to/file
nano,Open a file in restricted mode (i.e. don't read/write to files not specified on the command-line),nano [-R|--restricted] path/to/file
nano,Exit nano,<Ctrl x>
pwd,Print the current directory,pwd
pwd,"Print the current directory, and resolve all symlinks (i.e. show the ""physical"" path)",pwd [-P|--physical]
pwd,Display help,pwd --help
uniq,Display each line once,sort path/to/file | uniq
uniq,Display only unique lines,sort path/to/file | uniq [-u|--unique]
uniq,Display only duplicate lines,sort path/to/file | uniq [-d|--repeated]
uniq,Display number of occurrences of each line along with that line,sort path/to/file | uniq [-c|--count]
uniq,"Display number of occurrences of each line, sorted by the most frequent",sort path/to/file | uniq [-c|--count] | sort [-nr|--numeric-sort --reverse]
uniq,Compare only the first 10 characters on each line for uniqueness,sort path/to/file | uniq [-w|--check-chars] 10
uniq,Compare text after the first 5 characters on each line for uniqueness,sort path/to/file | uniq [-s|--skip-chars] 5
kill,Terminate a program using the default SIGTERM (terminate) signal,kill process_id
kill,List available signal names (to be used without the `SIG` prefix),kill -l
kill,Terminate a program using the SIGHUP (hang up) signal. Many daemons will reload instead of terminating,kill [-1|-HUP] process_id
kill,Terminate a program using the SIGINT (interrupt) signal. This is typically initiated by the user pressing `<Ctrl c>`,kill [-2|-INT] process_id
kill,Signal the operating system to immediately terminate a program (which gets no chance to capture the signal),kill [-9|-KILL] process_id
kill,"Signal the operating system to pause a program until a SIGCONT (""continue"") signal is received",kill [-19|-STOP] process_id
kill,Send a `SIGUSR1` signal to all processes with the given GID (group id),kill -SIGUSR1 -group_id
netstat,List all ports,netstat [-a|--all]
netstat,List all listening ports,netstat [-l|--listening]
netstat,List listening TCP ports,netstat [-t|--tcp]
netstat,Display PID and program names,netstat [-p|--program]
netstat,List information continuously,netstat [-c|--continuous]
netstat,List routes and do not resolve IP addresses to hostnames,netstat [-rn|--route --numeric]
netstat,List listening TCP and UDP ports (+ user and process if you're root),netstat [-tulpne|--tcp --udp --listening --program --numeric --extend]
file,Give a description of the type of the specified file,file path/to/file
file,Look inside a zipped file and determine the file type(s) inside,file [-z|--uncompress] path/to/file.zip
file,Allow `file` to work with special or device files,file [-s|--special-files] path/to/file
file,Don't stop at first file type match; keep going until the end of the file,file [-k|--keep-going] path/to/file
file,Determine the MIME encoding type of a file,file [-i|--mime] path/to/file
dig,Lookup the IP(s) associated with a hostname (A records),dig +short example.com
dig,Get a detailed answer for a given domain (A records),dig +noall +answer example.com
dig,Query a specific DNS record type associated with a given domain name,dig +short example.com A|MX|TXT|CNAME|NS
dig,Specify an alternate DNS server to query and optionally use DNS over TLS (DoT),dig +tls @1.1.1.1|8.8.8.8|9.9.9.9|... example.com
dig,Perform a reverse DNS lookup on an IP address (PTR record),dig -x 8.8.8.8
dig,Find authoritative name servers for the zone and display SOA records,dig +nssearch example.com
dig,Perform iterative queries and display the entire trace path to resolve a domain name,dig +trace example.com
dig,Query a DNS server over a non-standard [p]ort using the TCP protocol,dig +tcp -p port @dns_server_ip example.com
uptime,"Print current time, uptime, number of logged-in users, and other information",uptime
uptime,Show only the amount of time the system has been booted for,uptime [-p|--pretty]
uptime,Print the date and time the system booted up at,uptime [-s|--since]
uptime,Display the time data in seconds,uptime [-r|--raw]
uptime,Display version,uptime [-V|--version]
scp,Copy a local file to a remote host,scp path/to/local_file remote_host:path/to/remote_file
scp,Use a specific port when connecting to the remote host,scp -P port path/to/local_file remote_host:path/to/remote_file
scp,Copy a file from a remote host to a local directory,scp remote_host:path/to/remote_file path/to/local_directory
scp,Recursively copy the contents of a directory from a remote host to a local directory,scp -r remote_host:path/to/remote_directory path/to/local_directory
scp,Copy a file between two remote hosts transferring through the local host,scp -3 host1:path/to/remote_file host2:path/to/remote_directory
scp,Use a specific username when connecting to the remote host,scp path/to/local_file remote_username@remote_host:path/to/remote_directory
scp,Use a specific SSH private key for authentication with the remote host,scp -i ~/.ssh/private_key path/to/local_file remote_host:path/to/remote_file
scp,Use a specific proxy when connecting to the remote host,scp -J proxy_username@proxy_host path/to/local_file remote_host:path/to/remote_file
source,Evaluate contents of a given file,source path/to/file
source,Evaluate contents of a given file (alternatively replacing `source` with `.`),. path/to/file
date,Display the current date using the default locale's format,date +%c
date,"Display the current date in UTC, using the ISO 8601 format",date [-u|--utc] +%Y-%m-%dT%H:%M:%S%Z
date,Display the current date as a Unix timestamp (seconds since the Unix epoch),date +%s
date,Convert a date specified as a Unix timestamp to the default format,date [-d|--date] @1473305798
date,Convert a given date to the Unix timestamp format,"date [-d|--date] ""2018-09-01 00:00"" +%s [-u|--utc]"
date,Display the current date using the RFC-3339 format (`YYYY-MM-DD hh:mm:ss TZ`),date --rfc-3339 s
date,Set the current date using the format `MMDDhhmmYYYY.ss` (`YYYY` and `.ss` are optional),date 093023592021.59
date,Display the current ISO week number,date +%V
echo,Print a text message. Note: Quotes are optional,"echo ""Hello World"""
echo,Print a message with environment variables,"echo ""My path is $PATH"""
echo,Print a message without the trailing newline,"echo -n ""Hello World"""
echo,Append a message to the file,"echo ""Hello World"" >> file.txt"
echo,Enable interpretation of backslash escapes (special characters),"echo -e ""Column 1\tColumn 2"""
echo,Print the exit status of the last executed command (Note: In Windows Command Prompt and PowerShell the equivalent commands are `echo %errorlevel%` and `$lastexitcode` respectively),echo $?
echo,Pass text to another program through `stdin`,"echo ""Hello World"" | program"
wget,"Download the contents of a URL to a file (named ""foo"" in this case)",wget https://example.com/foo
wget,"Download the contents of a URL to a file (named ""bar"" in this case)",wget [-O|--output-document] bar https://example.com/foo
wget,"Download a single web page and all its resources with 3-second intervals between requests (scripts, stylesheets, images, etc.)",wget [-pkw|--page-requisites --convert-links --wait] 3 https://example.com/some_page.html
wget,Download all listed files within a directory and its sub-directories (does not download embedded page elements),wget [-mnp|--mirror --no-parent] https://example.com/some_path/
wget,Limit the download speed and the number of connection retries,wget --limit-rate 300k [-t|--tries] 100 https://example.com/some_path/
wget,Download a file from an HTTP server using Basic Auth (also works for FTP),wget --user username --password password https://example.com
wget,Continue an incomplete download,wget [-c|--continue] https://example.com
wget,Download all URLs stored in a text file to a specific directory,wget [-P|--directory-prefix] path/to/directory [-i|--input-file] path/to/URLs.txt
cd,Go to the specified directory,cd path/to/directory
cd,Go up to the parent of the current directory,cd ..
cd,Go to the home directory of the current user,cd
cd,Go to the home directory of the specified user,cd ~username
cd,Go to the previously chosen directory,cd -
cd,Go to the root directory,cd /
history,Display the commands history list with line numbers,history
history,Display the last 20 commands (in Zsh it displays all commands starting from the 20th),history 20
history,Display history with timestamps in different formats (only available in Zsh),history -d|f|i|E
history,[c]lear the commands history list,history -c
history,Over[w]rite history file with history of current Bash shell (often combined with `history -c` to purge history),history -w
history,[d]elete the history entry at the specified offset,history -d offset
history,Add a command to history without running it,history -s command
history,Run a command without adding it to history by adding a leading space,<Space>command
nslookup,Query your system's default name server for an IP address (A record) of the domain,nslookup example.com
nslookup,Query a given name server for a NS record of the domain,nslookup -type=NS example.com 8.8.8.8
nslookup,Query for a reverse lookup (PTR record) of an IP address,nslookup -type=PTR 54.240.162.118
nslookup,Query for ANY available records using TCP protocol,nslookup -vc -type=ANY example.com
nslookup,Query a given name server for the whole zone file (zone transfer) of the domain using TCP protocol,nslookup -vc -type=AXFR example.com name_server
nslookup,"Query for a mail server (MX record) of the domain, showing details of the transaction",nslookup -type=MX -debug example.com
nslookup,Query a given name server on a specific port number for a TXT record of the domain,nslookup -port=port_number -type=TXT example.com name_server
ping,Ping a host,ping host
ping,Ping a host only a specific number of times,ping -c count host
ping,"Ping host, specifying the interval in seconds between requests (default is 1 second)",ping -i seconds host
ping,Ping host without trying to lookup symbolic names for addresses,ping -n host
ping,Ping host and ring the bell when a packet is received (if your terminal supports it),ping -a host
ping,Also display a message if no response was received,ping -O host
ping,"Ping a host with specific number of pings, per-packet response timeout (`-W`), and total time limit (`-w`) of the entire ping run",ping -c count -W seconds -w seconds host
brew,Install the latest stable version of a formula or cask,brew install formula|cask
brew,List all installed formulae and casks,brew list
brew,"Upgrade an installed formula or cask (if none is given, all installed formulae/casks are upgraded)",brew upgrade formula|cask
brew,Fetch the newest version of Homebrew and of all formulae and casks from the Homebrew source repository,brew update
brew,Show formulae and casks that have a more recent version available,brew outdated
brew,Search for available formulae (i.e. packages) and casks (i.e. native macOS `.app` packages),brew search text
brew,"Display information about a formula or a cask (version, installation path, dependencies, etc.)",brew info formula|cask
brew,Check the local Homebrew installation for potential problems,brew doctor
